condition,eps,sample_id,iterations,execution_time,filename
uncongested,0.01,210,84,15.736576557159424,data/EMA/uncongested/sample_0210.pkl
uncongested,0.01,211,95,17.441187620162964,data/EMA/uncongested/sample_0211.pkl
uncongested,0.01,212,91,10.792246341705322,data/EMA/uncongested/sample_0212.pkl
uncongested,0.01,213,85,12.000375509262085,data/EMA/uncongested/sample_0213.pkl
uncongested,0.01,214,90,16.83812427520752,data/EMA/uncongested/sample_0214.pkl
uncongested,0.01,215,85,15.934491157531738,data/EMA/uncongested/sample_0215.pkl
uncongested,0.01,216,99,18.358392477035522,data/EMA/uncongested/sample_0216.pkl
uncongested,0.01,217,120,20.0202853679657,data/EMA/uncongested/sample_0217.pkl
uncongested,0.01,218,117,20.02537488937378,data/EMA/uncongested/sample_0218.pkl
uncongested,0.01,219,73,10.274089336395264,data/EMA/uncongested/sample_0219.pkl
uncongested,0.01,220,105,16.23735737800598,data/EMA/uncongested/sample_0220.pkl
uncongested,0.01,221,110,15.692261934280396,data/EMA/uncongested/sample_0221.pkl
uncongested,0.01,222,106,17.579713821411133,data/EMA/uncongested/sample_0222.pkl
uncongested,0.01,223,91,13.575395584106445,data/EMA/uncongested/sample_0223.pkl
uncongested,0.01,224,96,12.15288782119751,data/EMA/uncongested/sample_0224.pkl
uncongested,0.01,225,94,17.664796829223633,data/EMA/uncongested/sample_0225.pkl
uncongested,0.01,226,89,17.349831342697144,data/EMA/uncongested/sample_0226.pkl
uncongested,0.01,227,94,18.693596363067627,data/EMA/uncongested/sample_0227.pkl
uncongested,0.01,228,95,15.560781717300415,data/EMA/uncongested/sample_0228.pkl
uncongested,0.01,229,96,15.670269012451172,data/EMA/uncongested/sample_0229.pkl
uncongested,0.01,230,97,18.628151178359985,data/EMA/uncongested/sample_0230.pkl
uncongested,0.01,231,95,12.197857141494751,data/EMA/uncongested/sample_0231.pkl
uncongested,0.01,232,117,23.43650770187378,data/EMA/uncongested/sample_0232.pkl
uncongested,0.01,233,96,16.071016311645508,data/EMA/uncongested/sample_0233.pkl
uncongested,0.01,234,93,18.944953441619873,data/EMA/uncongested/sample_0234.pkl
uncongested,0.01,235,95,20.827617645263672,data/EMA/uncongested/sample_0235.pkl
uncongested,0.01,236,76,11.66115403175354,data/EMA/uncongested/sample_0236.pkl
uncongested,0.01,237,85,18.157156467437744,data/EMA/uncongested/sample_0237.pkl
uncongested,0.01,238,110,23.73728847503662,data/EMA/uncongested/sample_0238.pkl
uncongested,0.01,239,85,18.63272976875305,data/EMA/uncongested/sample_0239.pkl
uncongested,0.01,240,106,19.30805253982544,data/EMA/uncongested/sample_0240.pkl
uncongested,0.01,241,91,13.833175420761108,data/EMA/uncongested/sample_0241.pkl
uncongested,0.01,242,91,20.036084175109863,data/EMA/uncongested/sample_0242.pkl
uncongested,0.01,243,134,19.057027578353882,data/EMA/uncongested/sample_0243.pkl
uncongested,0.01,244,89,18.66094470024109,data/EMA/uncongested/sample_0244.pkl
uncongested,0.01,245,105,22.784528493881226,data/EMA/uncongested/sample_0245.pkl
uncongested,0.01,246,95,18.172500371932983,data/EMA/uncongested/sample_0246.pkl
uncongested,0.01,247,103,20.689777135849,data/EMA/uncongested/sample_0247.pkl
uncongested,0.01,248,75,14.9364492893219,data/EMA/uncongested/sample_0248.pkl
uncongested,0.01,249,96,20.874341249465942,data/EMA/uncongested/sample_0249.pkl
uncongested,0.01,250,82,10.92902421951294,data/EMA/uncongested/sample_0250.pkl
uncongested,0.01,251,108,23.623403787612915,data/EMA/uncongested/sample_0251.pkl
uncongested,0.01,252,97,21.1292884349823,data/EMA/uncongested/sample_0252.pkl
uncongested,0.01,253,87,16.441863536834717,data/EMA/uncongested/sample_0253.pkl
uncongested,0.01,254,103,14.84550404548645,data/EMA/uncongested/sample_0254.pkl
uncongested,0.01,255,106,23.29200768470764,data/EMA/uncongested/sample_0255.pkl
uncongested,0.01,256,90,17.827629804611206,data/EMA/uncongested/sample_0256.pkl
uncongested,0.01,257,98,21.31704020500183,data/EMA/uncongested/sample_0257.pkl
uncongested,0.01,258,91,19.216879844665527,data/EMA/uncongested/sample_0258.pkl
uncongested,0.01,259,76,10.371208190917969,data/EMA/uncongested/sample_0259.pkl
uncongested,0.01,260,94,16.946863889694214,data/EMA/uncongested/sample_0260.pkl
uncongested,0.01,261,109,23.912626266479492,data/EMA/uncongested/sample_0261.pkl
uncongested,0.01,262,86,12.296122074127197,data/EMA/uncongested/sample_0262.pkl
uncongested,0.01,263,92,20.15063238143921,data/EMA/uncongested/sample_0263.pkl
uncongested,0.01,264,77,12.550499439239502,data/EMA/uncongested/sample_0264.pkl
uncongested,0.01,265,105,22.355757236480713,data/EMA/uncongested/sample_0265.pkl
uncongested,0.01,266,89,13.897367238998413,data/EMA/uncongested/sample_0266.pkl
uncongested,0.01,267,84,18.495453119277954,data/EMA/uncongested/sample_0267.pkl
uncongested,0.01,268,101,22.344133853912354,data/EMA/uncongested/sample_0268.pkl
uncongested,0.01,269,88,19.39534592628479,data/EMA/uncongested/sample_0269.pkl
uncongested,0.01,270,107,23.304096460342407,data/EMA/uncongested/sample_0270.pkl
uncongested,0.01,271,88,11.292859554290771,data/EMA/uncongested/sample_0271.pkl
uncongested,0.01,272,94,13.92569613456726,data/EMA/uncongested/sample_0272.pkl
uncongested,0.01,273,92,15.269797563552856,data/EMA/uncongested/sample_0273.pkl
uncongested,0.01,274,109,19.198353052139282,data/EMA/uncongested/sample_0274.pkl
uncongested,0.01,275,95,21.15588927268982,data/EMA/uncongested/sample_0275.pkl
uncongested,0.01,276,99,16.79740619659424,data/EMA/uncongested/sample_0276.pkl
uncongested,0.01,277,90,19.911641120910645,data/EMA/uncongested/sample_0277.pkl
uncongested,0.01,278,104,15.980513572692871,data/EMA/uncongested/sample_0278.pkl
uncongested,0.01,279,82,18.143673181533813,data/EMA/uncongested/sample_0279.pkl
uncongested,0.01,280,110,24.48481559753418,data/EMA/uncongested/sample_0280.pkl
uncongested,0.01,281,95,20.80331516265869,data/EMA/uncongested/sample_0281.pkl
uncongested,0.01,282,104,22.730481147766113,data/EMA/uncongested/sample_0282.pkl
uncongested,0.01,283,77,15.038541555404663,data/EMA/uncongested/sample_0283.pkl
uncongested,0.01,284,101,19.842772006988525,data/EMA/uncongested/sample_0284.pkl
uncongested,0.01,285,107,13.72122049331665,data/EMA/uncongested/sample_0285.pkl
uncongested,0.01,286,83,18.367029666900635,data/EMA/uncongested/sample_0286.pkl
uncongested,0.01,287,98,12.795060396194458,data/EMA/uncongested/sample_0287.pkl
uncongested,0.01,288,101,20.85831117630005,data/EMA/uncongested/sample_0288.pkl
uncongested,0.01,289,115,24.93181610107422,data/EMA/uncongested/sample_0289.pkl
uncongested,0.01,290,95,18.154085397720337,data/EMA/uncongested/sample_0290.pkl
uncongested,0.01,291,116,23.399264097213745,data/EMA/uncongested/sample_0291.pkl
uncongested,0.01,292,81,18.053767442703247,data/EMA/uncongested/sample_0292.pkl
uncongested,0.01,293,111,23.11591100692749,data/EMA/uncongested/sample_0293.pkl
uncongested,0.01,294,107,18.171728372573853,data/EMA/uncongested/sample_0294.pkl
uncongested,0.01,295,114,21.766563177108765,data/EMA/uncongested/sample_0295.pkl
uncongested,0.01,296,109,22.704134941101074,data/EMA/uncongested/sample_0296.pkl
uncongested,0.01,297,101,17.72500443458557,data/EMA/uncongested/sample_0297.pkl
uncongested,0.01,298,84,16.14023447036743,data/EMA/uncongested/sample_0298.pkl
uncongested,0.01,299,102,21.331816911697388,data/EMA/uncongested/sample_0299.pkl
uncongested,0.01,300,113,17.731069087982178,data/EMA/uncongested/sample_0300.pkl
uncongested,0.01,301,106,23.5633807182312,data/EMA/uncongested/sample_0301.pkl
uncongested,0.01,302,98,21.81163501739502,data/EMA/uncongested/sample_0302.pkl
uncongested,0.01,303,112,14.340134382247925,data/EMA/uncongested/sample_0303.pkl
uncongested,0.01,304,87,19.2142231464386,data/EMA/uncongested/sample_0304.pkl
uncongested,0.01,305,107,21.902353763580322,data/EMA/uncongested/sample_0305.pkl
uncongested,0.01,306,99,19.72097611427307,data/EMA/uncongested/sample_0306.pkl
uncongested,0.01,307,92,18.05953025817871,data/EMA/uncongested/sample_0307.pkl
uncongested,0.01,308,84,18.305784702301025,data/EMA/uncongested/sample_0308.pkl
uncongested,0.01,309,93,14.243894100189209,data/EMA/uncongested/sample_0309.pkl
uncongested,0.01,310,109,23.588470697402954,data/EMA/uncongested/sample_0310.pkl
uncongested,0.01,311,77,9.91553020477295,data/EMA/uncongested/sample_0311.pkl
uncongested,0.01,312,105,16.910175561904907,data/EMA/uncongested/sample_0312.pkl
uncongested,0.01,313,97,21.054298639297485,data/EMA/uncongested/sample_0313.pkl
uncongested,0.01,314,85,18.617445945739746,data/EMA/uncongested/sample_0314.pkl
uncongested,0.01,315,105,21.98388433456421,data/EMA/uncongested/sample_0315.pkl
uncongested,0.01,316,99,21.298704624176025,data/EMA/uncongested/sample_0316.pkl
uncongested,0.01,317,109,23.157721042633057,data/EMA/uncongested/sample_0317.pkl
uncongested,0.01,318,93,17.84013867378235,data/EMA/uncongested/sample_0318.pkl
uncongested,0.01,319,110,23.24503207206726,data/EMA/uncongested/sample_0319.pkl
uncongested,0.01,320,97,12.406334400177002,data/EMA/uncongested/sample_0320.pkl
uncongested,0.01,321,101,12.897616863250732,data/EMA/uncongested/sample_0321.pkl
uncongested,0.01,322,108,21.235382318496704,data/EMA/uncongested/sample_0322.pkl
uncongested,0.01,323,113,19.471548080444336,data/EMA/uncongested/sample_0323.pkl
uncongested,0.01,324,100,17.524709463119507,data/EMA/uncongested/sample_0324.pkl
uncongested,0.01,325,111,20.104557514190674,data/EMA/uncongested/sample_0325.pkl
uncongested,0.01,326,84,17.639070510864258,data/EMA/uncongested/sample_0326.pkl
uncongested,0.01,327,105,21.40868306159973,data/EMA/uncongested/sample_0327.pkl
uncongested,0.01,328,104,14.263142347335815,data/EMA/uncongested/sample_0328.pkl
uncongested,0.01,329,115,23.060709238052368,data/EMA/uncongested/sample_0329.pkl
uncongested,0.01,330,90,16.52275013923645,data/EMA/uncongested/sample_0330.pkl
